Period,Time
1,8.20
2,8.40
3,9.00
4,9.20
5,9.40
6,10.00
7,10.20
8,10.40
9,11.00
10,11.20
11,11.40
12,13.00
13,13.20
14,13.40
15,14.00
16,14.20
17,14.40
18,15.00
19,15.20
20,15.40
21,16.00
22,16.20
23,16.40
24,17.00
25,17.20
26,17.40
27,18.00
28,18.20
29,18.40
30,19.00
31,19.20
32,19.40
33,21.00
34,21.20
35,21.40
36,22.00
37,22.20
38,22.40
39,23.00
40,23.20
41,23.40
42,00.00
43,00.20
44,00.40
45,01.00
46,01.20
47,01.40
48,02.00
49,02.20
50,02.40
51,03.00
52,03.20
53,03.40
54,05.00
55,05.20
56,05.40
57,06.00
58,06.20
59,06.40
60,07.00
61,07.20
62,07.40
